subject,relation,object,strength,decision_note
machine-learning,is-a,artificial-intelligence,strong,ML is a subset of AI.
deep-learning,is-a,machine-learning,strong,Deep learning is a subset of ML.
generative-ai,uses,foundation-model,strong,Many GenAI applications use foundation models.
llm,is-a,foundation-model,strong,LLMs are language-focused foundation models.
supervised-learning,requires-typically,labeled-data,strong,Supervised learning trains on labeled examples.
unsupervised-learning,uses,unlabeled-data,strong,Unsupervised learning finds structure without target labels.
semi-supervised-learning,combines,labeled-and-unlabeled-data,strong,Uses both labeled and unlabeled examples.
reinforcement-learning,learns-from,rewards-and-penalties,strong,Learns via environment feedback.
overfitting,associated-with,high-variance,strong,Memorizes noise and generalizes poorly.
underfitting,associated-with,high-bias,strong,Model is too simple or insufficiently fit.
feature-selection,keeps,original-features,strong,Selects a relevant subset.
feature-extraction,creates,new-feature-space,strong,Transforms data into new representations.
amazon-textract,best-for,documents-forms-tables-handwriting,strong,Document-centric extraction.
amazon-rekognition,best-for,image-video-analysis,strong,"Objects, faces, labels, moderation, and scene text."
amazon-comprehend,best-for,text-insights,strong,"Entities, sentiment, key phrases, classification, PII-related text tasks."
amazon-transcribe,best-for,speech-to-text,strong,Transcription.
amazon-polly,best-for,text-to-speech,strong,Speech synthesis.
amazon-translate,best-for,machine-translation,strong,Multilingual text translation.
amazon-personalize,best-for,recommendations,strong,Personalized recommendation use cases.
amazon-q-developer,best-for,developer-and-aws-assistance,strong,Coding and AWS operational assistance.
amazon-q-business,best-for,enterprise-data-assistant,strong,"Enterprise Q&A, summaries, and supported actions."
amazon-q-in-connect,best-for,contact-center-assistance,strong,Helps customer service agents.
amazon-bedrock,best-for,managed-foundation-model-apps,strong,Build GenAI apps with managed FM access.
sagemaker-jumpstart,best-for,ml-hub-pretrained-models,strong,"Pretrained models, solutions, evaluation, and deployment."
sagemaker-clarify,best-for,bias-and-explainability,strong,Bias detection and feature attribution.
sagemaker-model-monitor,best-for,production-model-monitoring,strong,Monitor drift and model/data quality.
sagemaker-model-cards,best-for,model-documentation,strong,"Assumptions, intended use, risk, and evaluation documentation."
sagemaker-model-dashboard,best-for,centralized-model-view,strong,Central account view of models and associated status.
sagemaker-ground-truth,best-for,human-labeling,strong,Human labeling and human-in-the-loop data work.
amazon-a2i,best-for,human-review-of-predictions,strong,Human review workflows for model predictions.
cloudtrail,best-for,api-audit-logging,strong,API calls and identity context.
aws-config,best-for,resource-configuration-compliance,strong,Configuration tracking and rules.
audit-manager,best-for,audit-evidence-collection,strong,Automates compliance evidence.
trusted-advisor,best-for,optimization-recommendations,strong,"Guidance across cost, security, performance, resilience, quotas."
amazon-macie,best-for,s3-sensitive-data-discovery,strong,Sensitive-data discovery in S3.
rag,retrieves,external-knowledge,strong,Retrieves relevant data at runtime.
rag,does-not-change,model-weights,strong,Grounding without retraining.
rag,implemented-by,bedrock-knowledge-bases,strong,Managed RAG workflow in Bedrock.
rag,uses,embeddings,strong,Embeddings support semantic retrieval.
